src,trg
Hydrogen Control of Ferromagnetism in a Dilute Magnetic Semiconductor,Coupled plasmon–LO-phonon modes in Ga1−xMnxAs
Estimating losses in teleportation schemes using the phenomenological operator approach to dissipation in cavity quantum electrodynamics,Experimental Realization of Teleporting an Unknown Pure Quantum State via Dual Classical and Einstein-Podolsky-Rosen Channels
Highly charged Arq+ ions interacting with metals,Neutralization of slow multicharged ions at a clean gold surface: Total electron yields
Asymptotic Description of Localized Lattice Modes and Low-Frequency Resonances,Infrared Absorption due to Substitutional Impurity in Cubic Crystals
Unconventional superconductors under a rotating magnetic field. I. Density of states and specific heat,Lowest Landau level approximation in strongly type-II superconductors
Pion-Nucleon Scattering and Pion-Pion Interactions,Pion Production and the Second Pion-Nucleon Resonance
Density Profile of a Trapped Strongly Interacting Fermi Gas with Unbalanced Spin Populations,Equation of State of a Fermi Gas in the BEC-BCS Crossover: A Quantum Monte Carlo Study
The Transmutation of Fluorine by Protons,Gamma-Rays from Fluorine Due to Proton Bombardment
Searching for materials with high refractive index and wide band gap: A first-principles high-throughput study,Electron-energy-loss spectra and the structural stability of nickel oxide:  An LSDA+U study
Spectroscopy of dipolar fermions in layered two-dimensional and three-dimensional lattices,Liquid crystal phases of ultracold dipolar fermions on a lattice
Optical Probe for Anomalous Hall Resonance in Ferromagnets with Spin Chirality,Metal-insulator transitions
Radiative decays of ψ and ψ′ involving qq¯ scalar-meson final states,Comment on the decay of ψ(3.1) into even- G- parity states
Topological semimetal features in the multiferroic hexagonal manganites,Coupling between the ferroelectric and antiferromagnetic orders in YMnO3
Stochastic resonance between dissipative structures in a bistable noise-sustained dynamics,Noise-sustained structures in differential-flow reactors with autocatalytic kinetics
Inclusive measurements of electromagnetic dissociation of Au197 targets,Reply to ‘‘Comment on ‘Electromagnetic dissociation of Co59 and Au197 targets by relativistic La139 projectiles’ ’’
Impulsive gravitational waves in general massive 3D gravity,AdS-plane wave and pp-wave solutions of generic gravity theories
"Density, sp3 fraction, and cross-sectional structure of amorphous carbon films determined by x-ray reflectivity and electron energy-loss spectroscopy",Investigation of hydrocarbon-plasma-generated carbon films by electron-energy-loss spectroscopy
Bond algebras and exact solvability of Hamiltonians: Spin S=12 multilayer systems,Creation and Manipulation of Anyons in the Kitaev Model
Evidence of a mobility edge for photons in two dimensions,Calculation of photon dispersion relations
Damping rates of hard momentum particles in a cold ultrarelativistic plasma,de Haas-van Alphen Effect and the Specific Heat of an Electron Gas
General implementation of arbitrary nonlinear quadrature phase gates,Quantum computation with optical coherent states
BRST-invariant N-superstring vertices,Quantized strings on Riemann surfaces and the string-field-theory vertex
Production of a cascade hyperon in the K−-proton interaction,"Measurement of Neutral Cascade Production from Negative-Kaon-Hydrogen at 1.8 GeV/c, K−p→K0Ξ0"
W-Meson Decays in Unitary Symmetry,Width of the φ Meson
Localized and propagating excitations in gapped phases of spin systems with bond disorder,Boson localization and the superfluid-insulator transition
Dynamics of two-dimensional dipole systems,Pseudopotential theory of interacting roton pairs in superfluid He4
"Atomic configuration, conductance, and tensile force of platinum wires of single-atom width",Real-time imaging of atomistic process in one-atom-thick metal junctions
Comparison between methods of analytical continuation for bosonic functions,Diagrammatic quantum Monte Carlo study of the Fröhlich polaron
The Possible Magnetic Field of a Rotating Metallic Body Containing a Stress Gradient,Induction Effects in Terrestrial Magnetism. Part III. Electric Modes
Electron-impact excitation of neon at intermediate energies,Measurement of electron-impact excitation cross sections out of the neon 3P2 metastable level
Dressed State Nutation and Dynamic Stark Switching,Stark Effect in Rapidly Varying Fields
Higgs decay rate to two photons in a model with two fermiophobic-Higgs doublets,Could two NMSSM Higgs bosons be present near 125 GeV?
Greenberger-Horne-Zeilinger paradoxes with symmetric multiport beam splitters,Experimental Entanglement Swapping: Entangling Photons That Never Interacted
Thermalization in a one-dimensional integrable system,Exact Analysis of an Interacting Bose Gas. II. The Excitation Spectrum
Distinguishing elastic and inelastic scattering effects in reflection electron energy loss spectroscopy,Quantitative model of electron energy loss in XPS
Theory of coexistence between itinerant-electron antiferromagnetism and superconductivity,Neutron Scattering Study of the Lattice-Dynamical Phase Transition in Nb3 Sn
Effects of pressure on the superconducting properties of magnesium diboride,Pressure Dependence of the Superconducting Transition Temperature
Electron exchange and polarization effects on electron captures and neutron emissions by nuclei in white dwarfs and neutron stars,Hartree-Fock-Bogoliubov nuclear mass model with 0.50 MeV accuracy based on standard forms of Skyrme and pairing functionals
Coherent coupling completing an unambiguous optomechanical classification framework,Quantum speed meter based on dissipative coupling
Scanning-tunneling-microscopy and photoemission study of an alkali-metal-induced structural phase transition: Si(111)-(7×7) into Si(111)-Na(3×1),Parallel Adatom Chains on Si(111): A Chemisorption-Induced Surface Reconstruction
Optical properties of small polarons from dynamical mean-field theory,Optical absorption from a nondegenerate polaron gas
Black hole remnants may exist if Starobinsky inflation occurred,Comment on “Do Semiclassical Zero Temperature Black Holes Exist”
Spherical harmonic modes of 5.5 post-Newtonian gravitational wave polarizations and associated factorized resummed waveforms for a particle in circular orbit around a Schwarzschild black hole,High-accuracy comparison of numerical relativity simulations with post-Newtonian expansions
Sudden Transition between Classical and Quantum Decoherence,Broadcast Copies Reveal the Quantumness of Correlations
Impurities and orbital-dependent superconductivity in Sr2RuO4,Comment on ‘‘Impurity effects in d-wave superconductors’’
Nonlinear reconstruction of single-molecule free-energy surfaces from univariate time series,Geometry from a Time Series
Semiclassical approach to competing orders in a two-leg spin ladder with ring exchange,Dynamics in a two-leg spin ladder with a four-spin cyclic interaction
Fractional statistics of Laughlin quasiparticles in quantum antidots,Concept of Off-Diagonal Long-Range Order and the Quantum Phases of Liquid He and of Superconductors
Nonequilibrium dynamics of a two-defect system under severe load,Dispersion and Absorption of High Frequency Sound Waves
Fano Profiles Induced by Near-Field Coupling in Heterogeneous Dimers of Gold and Silver Nanoparticles,Semiconductor-Metal Nanoparticle Molecules: Hybrid Excitons and the Nonlinear Fano Effect
Quantitative phase-field model of alloy solidification,Quantitative phase-field modeling of dendritic growth in two and three dimensions
All-Electrical Detection of the Relative Strength of Rashba and Dresselhaus Spin-Orbit Interaction in Quantum Wires,Magnetoresistance of a weakly disordered III-V semiconductor quantum well in a magnetic field parallel to interfaces
Intermediate-velocity atomic collisions: Electron capture and loss in 10–42-MeV C ions,Relativistic eikonal theory of electron capture
Renormalized ϕ6 model for quantum phase transitions in systems of itinerant fermions,Soft Fermi Surfaces and Breakdown of Fermi-Liquid Behavior
Surface electronic structure of NiMnSb(001),Reduced surface magnetization of NiMnSb(001)
Origin of the superconducting state in the collapsed tetragonal phase of KFe2As2,Microscopic origin of pressure-induced phase transitions in the iron pnictide superconductors AFe2As2: An ab initio molecular dynamics study
Electronic Hall Effect in the Alkali Halides,On the Polar Vibrations of Alkali Halides
Phase shifts and mixing parameters for low-energy proton-deuteron scattering,"Cross section, polarization observables, and phase-shift parameters in p-d and n-d elastic scattering"
Point defect movement and annealing in collision cascades,Structural Transformations and Defect Production in Ion Implanted Silicon: A Molecular Dynamics Simulation Study
Second Order Parametric Processes in Nonlinear Silica Microspheres,Time-independent perturbation for leaking electromagnetic modes in open systems with application to resonances in microdroplets
Near-Room-Temperature Colossal Magnetodielectricity and Multiglass Properties in Partially Disordered La2NiMnO6,Origin of ferroelectric polarization in spiral magnetic structure of MnWO4
Engel et al. Reply:,Comment on “Ferrofluids as Thermal Ratchets”
π± and π0 Production by Polarized Photons in the Resonance Region,Photoproduction of π0's from Neutrons at 4 GeV
Probing Electron Spin Resonance in Monolayer Graphene,Electronic spin transport in graphene field-effect transistors
Importance of Correlation Effects in hcp Iron Revealed by a Pressure-Induced Electronic Topological Transition,Superconductivity in compressed iron: Role of spin fluctuations
Electron rescattering and the fragmentation dynamics of molecules in strong optical fields,Multiphoton Ionization of One-Electron Atoms with Circularly Polarized Light
Model for the reversible magnetization of high-κ type-II superconductors: Application to high-Tc superconductors,Determination of κ1(T) and κ2(T) for Type-II Superconductors with Arbitrary Impurity Concentration
Kinetic theory of spin-polarized systems in electric and magnetic fields with spin-orbit coupling. I. Kinetic equation and anomalous Hall and spin-Hall effects,Quantum field-theoretical methods in transport theory of metals
Direct Evidence for Shallow Acceptor States with Nonspherical Symmetry in GaAs,Observation of bulk defects by scanning tunneling microscopy and spectroscopy: Arsenic antisite defects in GaAs
Enhancement of the spin transfer torque efficiency in magnetic STM junctions,Special points for Brillouin-zone integrations
Binding in alkali and alkaline-earth tetrahydroborates: Special position of magnesium tetrahydroborate,Improved tetrahedron method for Brillouin-zone integrations
Sustainable orientation of polar molecules induced by half-cycle pulses,Realization of the kicked atom
Finite-width effects for the localized edge modes in zigzag graphene nanoribbons,The electronic properties of graphene
Chiral magnetic interactions in graphene nanoribbons on topological insulator substrates,Information Transfer by Vector Spin Chirality in Finite Magnetic Chains
Impurity effects on NMR and the Knight shift in a D-wave superconductor,Effect of d-wave energy-gap symmetry on Raman shifts
Critical Josephson current in BCS-BEC–crossover superfluids,Direct Observation of Tunneling and Nonlinear Self-Trapping in a Single Bosonic Josephson Junction
Vortex properties of YBa2Cu3O7 superconducting thin films: Irreversible magnetization and the effect of thickness,Theory of melted flux liquids
Optical properties of complex defects created by Ag diffusion in ZnTe,Optical Absorption by Impurities in p-Type Gallium Phosphide
Fano resonances in chalcogen-doped silicon,Effects of Configuration Interaction on Intensities and Phase Shifts
Direct Double Photoionization Involving Inner and Outer Electrons: First Experimental Determination and Many-Body Calculations of an Absolute Cross Section,Electron-energy and -angular distributions in the double photoionization of helium
Multimode theory of pulsed-twin-beam generation using a high-gain fiber-optical parametric amplifier,Quantum information with continuous variables
Wigner crystal in the manganese oxides R1−xAxMnO3,Orbital and charge ordering in Pr1−xCaxMnO3 (x=0 and 0.5) from the ab initio calculations
Critical nonequilibrium cluster-flip relaxations in Ising models,Finite-size scaling analysis of pseudocritical region in two-dimensional continuous-spin systems
Time diffraction of evanescent waves,Linear Pulse Propagation in an Absorbing Medium
Attosecond transient-absorption spectroscopy in one-dimensional periodic crystals,Theoretical Analysis of High-Harmonic Generation in Solids
Nonperturbative harmonic generation in graphene from intense midinfrared pulsed light,Quantum Path Interferences in High-Order Harmonic Generation
Improved axisymmetric lattice Boltzmann scheme,Simulation of buoyancy-driven flows in a vertical cylinder using a simple lattice Boltzmann model
Slowing of supersonically cooled atoms and molecules by time-varying nonresonant induced dipole forces,Observation of Optically Trapped Cold Cesium Molecules
"Magnetic hyperfine structure of the ground-state doublet in highly charged ions Th89+,87+229 and the Bohr-Weisskopf effect",Results of a Direct Search Using Synchrotron Radiation for the Low-Energy Th229 Nuclear Isomeric Transition
Role of the Majorana Fermion and the Edge Mode in Chiral Superfluidity near a p-Wave Feshbach Resonance,BCS-BEC Crossover in a Gas of Fermi Atoms with a p-Wave Feshbach Resonance
First Observation of CP Violation in B¯0→DCP(*)h0 Decays by a Combined Time-Dependent Analysis of BABAR and Belle Data,Measurement of CP violating asymmetries in B0→K+K−KS0 decays with a time-dependent Dalitz approach
Quantum phases of one-dimensional Hubbard models with three- and four-body couplings,Effective Low-Energy Theory for Correlated Carbon Nanotubes
Surface-Barrier Analysis for Rhenium from Periodic Deviations in the Thermionic Schottky Effect,Thermionic Emission
Thickness-dependent coercive mechanisms in exchange-biased bilayers,Asymmetric Magnetization Reversal in Exchange-Biased Hysteresis Loops
Nonlocal signatures of the chiral magnetic effect in the Dirac semimetal Bi0.97Sb0.03,Chiral anomaly and classical negative magnetoresistance of Weyl metals
Symmetry-protected topological phases of one-dimensional interacting fermions with spin-charge separation,Gapless symmetry-protected topological phase of fermions in one dimension
Linear electro-optic effect in multiferroic BiFeO3 thin films,Temperature dependence of the electro-optic tensor and refractive indices of BaTiO3 from first principles
Effect of optical irradiation on the indirect exchange constant of a magnetic impurity system and an antiferromagnetic insulator,"Photomagnetic Anneal, A New Magneto-Optic Effect, in Si-Doped Yttrium Iron Garnet"
Density of superfluid helium droplets,Liquid-vapor density profile of helium: An x-ray study
Bimolecular chemical reactions on weighted complex networks,Absence of Kinetic Effects in Reaction-Diffusion Processes in Scale-Free Networks
Simulation of the zero-temperature behavior of a three-dimensional elastic medium,Topological defects in the random-field XY model and the pinned vortex lattice to vortex glass transition in type-II superconductors
Phonon dispersion in a metallic glass,Phonon dispersion in metallic glasses: A simple model
Production of the neutral Z0(4430) in p¯p→ψ′π0 reaction,Observation of the Resonant Character of the Z(4430)− State
Stochastic lists: Sampling multivariable functions with population methods,Ground-State Energy of a Many-Fermion System. II
Majorana bound state localization and energy oscillations for magnetic impurity chains on conventional superconductors,Proposal for realizing Majorana fermions in chains of magnetic atoms on a superconductor
CODATA recommended values of the fundamental physical constants: 2014,Phase-Sensitive Cyclotron Frequency Measurements at Ultralow Energies
Phase Fluctuations in Atomic Bose Gases,Atomic Scattering in the Presence of an External Confinement and a Gas of Impenetrable Bosons
Drift current and thermal pressure effects in the electromagnetic instabilities of periodic semiconductor superlattices,Effect of plasma waves on the optical properties of metal-insulator superlattices
Realization of a SU(2)×SU(6) System of Fermions in a Cold Atomic Gas,Ultracold Fermions and the SU(N) Hubbard Model
Persistence of chaos in a time-delayed-feedback controlled Duffing system,Fractal Basin Boundaries and Homoclinic Orbits for Periodic Motion in a Two-Well Potential
Bound mode of an atom laser,Steady-state quantum statistics of a non-Markovian atom laser
Universal short-time quantum critical dynamics in imaginary time,The density-matrix renormalization group
Antiferromagnetic superconductors with effective-mass anisotropy in magnetic fields,Evidence for the Fulde-Ferrell-Larkin-Ovchinnikov state in CeCoIn5 from penetration depth measurements
Medium-induced gluon emission via transverse and longitudinal scattering in dense nuclear matter,Elastic energy loss and longitudinal straggling of a hard jet
Increased Stability in Crystal Growth Kinetics in Response to Bulk Transport Enhancement,Unsteady crystal growth due to step-bunch cascading
Proposed μ→eγ Search with Polarized Muons,Search for rare muon decays with the Crystal Box detector
Synchrotron radiation in Lorentz-violating electrodynamics: The Myers-Pospelov model,Reconcile Planck-scale discreteness and the Lorentz-Fitzgerald contraction
Scalar strange content of the nucleon from lattice QCD,Strange quark contributions to nucleon mass and spin from lattice QCD
Far-infrared-active collective modes of short-period arrays of quantum dots and antidots,Magnetoplasma excitations in anharmonic electron dots
Spin observables and the determination of the parity of Θ+ in photoproduction reaction,Observation of an Exotic S=+1 Baryon in Exclusive Photoproduction from the Deuteron
Dynamic vortex ordering in thin a−Nb70Ge30 films,Dynamic Melting of the Vortex Lattice
Interface Roughening in a Hydrodynamic Lattice-Gas Model with Surfactant,"Lattice-gas models of phase separation: interfaces, phase transitions, and multiphase flow"
Identifying topological order in the Shastry-Sutherland model via entanglement entropy,Topological phases and topological entropy of two-dimensional systems with finite correlation length
Fermi-edge singularity in chiral one-dimensional systems far from equilibrium,Dephasing by a Zero-Temperature Detector and the Friedel Sum Rule
Magnetotransport in a two-dimensional electron gas with externally induced spatial inhomogeneities,Interpretation of experiments implying density of states between Landau levels of a two-dimensional electron gas by a statistical model for inhomogeneities
Thermoelectric transport in double-Weyl semimetals,Metallic Spin-Liquid Behavior of the Geometrically Frustrated Kondo Lattice Pr2Ir2O7
Light propagation through closed-loop atomic media beyond the multiphoton resonance condition,Tunable phase control for subluminal to superluminal light propagation
Electrical control over perpendicular magnetization switching driven by spin-orbit torques,Surface energy and work function of elemental metals
Stick-slip response in electrorheological fluids,Evolution of structure in a quiescent electrorheological fluid
Design of a heterostructure peapod using magic silicon clusters,One-Dimensional Metallofullerene Crystal Generated Inside Single-Walled Carbon Nanotubes
Finite-temperature perturbation theory for a spatially inhomogeneous Bose-condensed gas,Collective Excitations of a Trapped Bose-Condensed Gas
Single-hole dynamics in dimerized and frustrated spin chains,Perturbation theory for spin ladders using angular-momentum coupled bases
Majorana Fermion Surface Code for Universal Quantum Computation,Surface code quantum computing with error rates over 1%
Impact of atomic parity violation measurements on precision electroweak physics,Radiative corrections and electroweak observables
Can axionlike particles explain the alignments of the polarizations of light from quasars?,Weak-Interaction Singlet and Strong CP Invariance
Dynamic Polarization in the Strong-Field Ionization of Small Metal Clusters,Quantum Interference in Double Ionization and Fragmentation of C6H6 in Intense Laser Fields
New Universality Class for the Three-Dimensional XY Model with Correlated Impurities: Application to He4 in Aerogels,Percolation in cluster-cluster aggregation processes
Unusual features in the normal-state resistivity of Bi2Sr2Ca2Cu3O10 whiskers,Anomalous suppression of superconductivity in Zn-substituted Bi2Sr2Ca1−xYx(Cu1−yZny)2O8+δ
Combination of tt¯ cross section measurements and constraints on the mass of the top quark and its decays into charged Higgs bosons,Measurement of the tt¯ production cross section in pp¯ collisions at s=1.96  TeV using secondary vertex b tagging
Continuous-variable quantum teleportation with non-Gaussian resources,Entanglement evaluation of non-Gaussian states generated by photon subtraction from squeezed states
Direct experimental observation of nonclassicality in ensembles of single-photon emitters,Beating the Abbe Diffraction Limit in Confocal Microscopy via Nonclassical Photon Statistics
Theory of laser-assisted autoionization by attosecond light pulses,Propensity Rule for Novel Selective Double Photoexcitation of Helium Atoms in Strong Static Electric Fields
Soft Photons from Off-Shell Particles in a Hot Plasma,Effective 1/Nc expansion in the Nambu–Jona-Lasinio model
Precise Theory of Field Enhancement of Dielectronic Recombination,Effect of Extrinsic Electric Fields upon Dielectronic Recombination: Mg1+
Photoionization Probabilities of Atomic Potassium,Magnetic Rotation Spectrum and Heat of Dissociation of the Potassium Molecule
Stationary convective instability in a superfluid He3-He4 mixture,Convective instability: A physicist's approach
Phonon branch-resolved electron-phonon coupling and the multitemperature model,Dominant phonon polarization conversion across dimensionally mismatched interfaces: Carbon-nanotube–graphene junction
Polarized XAS studies of ternary nickel oxides,"RNiO3 perovskites (R=Pr,Nd): Nickel valence and the metal-insulator transition investigated by x-ray-absorption spectroscopy"
Coulomb Functions for Large Charges and Small Velocities,The Theory of Coulomb Excitation of Nuclei
Equivalence of the multilead approach to dephasing and the self-consistent Born approximation,Electrical linear-response theory in an arbitrary magnetic field: A new Fermi-surface formation
Lattice computation of the electromagnetic contributions to kaon and pion masses,Nonperturbative QCD simulations with 2+1 flavors of improved staggered quarks
Inclusive Higgs boson production at the LHC in the kT-factorization approach,Higgs boson as a gluon trigger
Quantum and Classical Phases of the Pyrochlore Heisenberg Model with Competing Interactions,Stability of the spin-12 kagome ground state with breathing anisotropy
Mössbauer Line Shift in Iron,Temperature-Dependent Shift of γ Rays Emitted by a Solid
Stripe formation in doped Hubbard ladders,Comment on “Superconductivity in the Two-Dimensional t−  J Model”
Observation of bubble dynamics within luminescent cavitation clouds: Sonoluminescence at the nano-scale,Sonoluminescing bubbles and mass diffusion
Change of collective-flow mechanism indicated by scaling analysis of transverse flow,Fragment emission in high-energy heavy-ion reactions
Optimal Cloning and Singlet Monogamy,Optimal cloning of pure states
Ionization and recombination coefficients for Fe xv—Fe xix,Influence of Neutral-Beam Injection on Impurity Transport in the ISX-B Tokamak
Continuous-variable multipartite unlockable bound entangled Gaussian states,Bound Entanglement Can Be Activated
Masses and electromagnetic mass differences of b-quark and t-quark mesons in a quark model,Electromagnetic mass splittings of mesons in the charmed-quark model
Exotic doubly charmed Ds0*(2317)D and Ds1*(2460)D* molecules,"Three-body JP=0+, 1+, 2+ B*B*K¯ bound states"
Effects of anharmonic strain on the phase stability of epitaxial films and superlattices: Applications to noble metals,Intermixing and three-dimensional islands in the epitaxial growth of Au on Ag(110)
Structure and shape of nematic liquid-crystal microdroplets,Configuration transition in a nematic liquid crystal confined to a small spherical cavity
LHC phenomenology of lowest massive Regge recurrences in the Randall-Sundrum orbifold,Hierarchies from fluxes in string compactifications
Reentrant nematic and multiple smectic-A liquid crystals: Intrachain flexibility constraints,Effect of longitudinal dipoles in liquid crystals
Conductivity fluctuations in a single crystal of Bi2Sr2CaCu2Ox,Critical fluctuations in high-Tc superconductors
Generalized gauge-invariant regularization of the Schwinger model,Soliton operators for the quantized sine-Gordon equation
Isotropy and stability of the brane,Cosmological limits on slightly skew stresses
Implications of a cosmological constant varying as R−2,Quantum instability of de Sitter spacetime
Dynamics of a single trapped ion inside a nonideal QED cavity at zero temperature,Cavity QED with cold trapped ions
Nuclear fragmentation induced by low-energy antiprotons within a microscopic transport approach,Strangeness production in antiproton annihilation on nuclei
Cooling atom-cavity systems into entangled states,Conditional Quantum Phase Gate between Two 3-State Atoms
Hydrodynamic Expansion of a Strongly Interacting Fermi-Fermi Mixture,Equilibrium and dynamics of a trapped superfluid Fermi gas with unequal masses
Revisiting the Structure of the p(4×4) Surface Oxide on Ag(111),Structure and Reactivity of Surface Oxides on Pt(110) during Catalytic CO Oxidation
Degree-based attacks and defense strategies in complex networks,Breakdown of the Internet under Intentional Attack
Two-photon decay width of the sigma meson,Mixing of scalar tetraquark and quarkonia states in a chiral approach
"Field-tuned critical fluctuations in YFe2Al10: Evidence from magnetization, 27Al NMR, and NQR investigations",Quantum Griffiths Phase in the Weak Itinerant Ferromagnetic Alloy Ni1−xVx
Elastic theory of origami-based metamaterials,Generic Bistability in Creased Conical Surfaces
Magnetic Nonuniformity and Thermal Hysteresis of Magnetism in a Manganite Thin Film,Colossal elastoresistance and strain-dependent magnetization of phase-separated (Pr1−yLay)0.7Ca0.3MnO3 thin films
"Competing phases, phase separation, and coexistence in the extended one-dimensional bosonic Hubbard model",Entanglement of Atoms via Cold Controlled Collisions
Effective potential for composite operators and for an auxiliary scalar field in a Nambu–Jona-Lasinio model,Radiative Corrections as the Origin of Spontaneous Symmetry Breaking
Two-photon exchange in a dispersion approach,Two-photon exchange in elastic electron-nucleon scattering
Why there is no spin-orbit inversion in heavy-light mesons,Study of B−→D**0π−(D**0→D(*)+π−) decays
"Effective interactions and nuclear structure using 180 MeV protons. III. Si30(p,p’)",Analyzing power of proton-nucleus elastic scattering between 80 and 180 MeV
Parallel-pulling protocol for free-energy evaluation,Path-ensemble averages in systems driven far from equilibrium
T-odd correlations from CP violating anomalous top-quark couplings revisited,Precise determination of the Wtb couplings at the CERN Large Hadron Collider
Metal-phthalocyanine chains on the Au(110) surface: Interaction states versus d-metal states occupancy,Symmetry reduction of metal phthalocyanines on metals
Topological metal bands with double-triple-point fermions in optical lattices,Topological semimetal and Fermi-arc surface states in the electronic structure of pyrochlore iridates
Self-consistent Analytical Model of the Rayleigh-Taylor Instability in Inertial Confinement Fusion,Rayleigh-Taylor Instability and Laser-Pellet Fusion
Dimple and nose coalescences in phase-separation processes,Phase separation under a weak concentration gradient
Quantum statistics and the momentum distribution of liquid parahydrogen,Isotopic shift of helium melting pressure: Path integral Monte Carlo study
Eigenvalues and eigenstates of the many-body collective neutrino oscillation problem,Observation of Electron-Antineutrino Disappearance at Daya Bay
Absence of Evidence of Electrical Switching of the Antiferromagnetic Néel Vector,Antiferromagnetic spintronics
Stochastic model for heart-rate fluctuations,Long-range anticorrelations and non-Gaussian behavior of the heartbeat
Dilepton production in nucleon-nucleon reactions with and without hadronic inelasticities,Dilepton radiation from nucleon-nucleon collisions
Constraints on Exotic Dipole-Dipole Couplings between Electrons at the Micrometer Scale,String axiverse
Optical Pumping,Hyperfine Optical Pumping of Sodium Vapors
"Structural, magnetic, and electrical properties of single-crystalline La1−xSrxMnO3 (0.4&lt;x&lt;0.85)",Magnetic Spin Origin of the Charge-Ordered Phase in Manganites
Relativistic many-body calculations of [2p53s] excited-state energy levels for neonlike ions,Finite basis sets for the Dirac equation constructed from B splines
Singular field used to calculate the self-force on nonspinning and spinning particles,Self-force on a scalar particle in spherically symmetric spacetime via mode-sum regularization: Radial trajectories
Mass uncertainties of f0(600) and f0(1370) and their effects on determination of the quark and glueball admixtures of the I=0 scalar mesons,Toy model for two chiral nonets
Chiral magnetic excitations in FeGe films,Discretized topological Hall effect emerging from skyrmions in constricted geometry
Exposing the dead cone effect with jet substructure techniques,Sudakov safety in perturbative QCD
New Class of Three-Body States,Colliding Bose-Einstein Condensates to Observe Efimov Physics
Quantum key distribution with passive decoy state selection,"Direct, Loss-Tolerant Characterization of Nonclassical Photon Statistics"
Interfacial Landau levels in bent graphene racetracks,Deformation Potentials and Mobilities in Non-Polar Crystals
Predicting interface structures: From SrTiO3 to graphene,Self-interaction correction to density-functional approximations for many-electron systems
"Time translation, spatial scaling, and nonexponential relaxation in the classical planar model",Possibility of a Phase Transition for the Two-Dimensional Heisenberg Model
Spin dependence in pp scattering in the Coulomb-nuclear interference region,Low-energy nucleon-nucleon potential from Regge-pole theory
Alleged acausality of the diffusion equations: A reply,Why hyperbolic theories of dissipation cannot be ignored: Comment on a paper by Kostädt and Liu
Localization of light in three-dimensional random dielectric media,Coherent backscattering of light in the presence of time-reversal-noninvariant and parity-nonconserving media
Free Cooling of a Granular Gas of Rodlike Particles in Microgravity,Granular Gases of Rod-Shaped Grains in Microgravity
Relaxation effects in molecular K-shell hotoionization,"Molecular photoionization in the linear algebraic approach: H2, N2, NO, and CO2"
Semiclassical interpretation of an M1 sum rule derived within the interacting boson model,"Orbital magnetic dipole strength in Sm148,150,152,154 and nuclear deformation"
Current transport through low-angle grain boundaries in high-temperature superconductors,Electromagnetic properties at the grain boundary interface of a YBa2Cu3O7−δ bicrystal Josephson junction
γγγγ production at the LHC: An application of 2→4 analytic unitarity,Next-to-leading order γγ+2−jet production at the LHC
Phase transition in conformally induced gravity with torsion,Inflationary universe: A possible solution to the horizon and flatness problems
"Parity violation and dynamical relativistic effects in (e⃗,e′N) reactions",Scattering and reaction dynamics for the C12+p system
High-energy bremsstrahlung from polarized electrons colliding with spin-12 nuclei,Polarization Transfer of Bremsstrahlung Arising from Spin-Polarized Electrons
Relativistic Three-Body Recombination with the QED Vacuum,Gamma flashes from relativistic electron-positron plasma droplets
Generation and replication of continuous-variable quadripartite cluster and Greenberger-Horne-Zeilinger states in four chains of superconducting transmission line resonators,Preparation of four-mode cluster states with distant atomic ensembles
Atom interference in a gray optical lattice,Unity Occupation of Sites in a 3D Optical Lattice
Constraints on a phenomenologically parametrized neutron-star equation of state,Equation of state for dense nucleon matter
Effects of clustering in binary composites: Random fractals,Scaling of Kinetically Growing Clusters
Mining single-electron spectra of the interface states from a supercell band structure of silicene on an Ag(111) substrate with band-unfolding methodology,Two- and One-Dimensional Honeycomb Structures of Silicon and Germanium
Effects of nonequilibrium noise on a quantum memory encoded in Majorana zero modes,Majorana Fermions and a Topological Phase Transition in Semiconductor-Superconductor Heterostructures
Magnetic susceptibility of the doped Mott insulator: Gauge theory,Mean-field theory of high-Tc superconductivity: The superexchange mechanism
Effect of spin-orbit interaction on the vortex dynamics in LaAlO3/SrTiO3 interfaces near the superconducting transition,Experimental Evidence of Non-Gaussian Fluctuations near a Critical Point
Magnetic resonant x-ray scattering at the Ga K edge in UGa3: A band theoretical approach,"Interplay between Charge, Orbital, and Magnetic Order in Pr1−xCaxMnO3"
Revealing hidden genuine tripartite nonlocality,Bound Nonlocality and Activation
"Approaching the Quantum ""Limit"" for Force Detection",Quantum limits on resonant-mass gravitational-radiation detectors
Breached pairing superfluidity at finite temperature and density,Gapless Color Superconductivity
Absorption and Luminescence of Excitons at Neutral Donors in Gallium Phosphide,Isoelectronic Traps Due to Nitrogen in Gallium Phosphide
Quantum interference in two-photon absorption: Polarization and magnetic field effects in the (7s)1S←(5s2)1S transition of atomic Sr,"Interference Effects in the Resonance Fluorescence of ""Crossed"" Excited Atomic States"
Contextual Advantage for State Discrimination,On the Problem of Hidden Variables in Quantum Mechanics
The Ferromagnetism of Nickel. II. Temperature Effects,The Ferromagnetism of Nickel
Electron Paramagnetic Resonance of Mn2+ in KTaO3,Temperature Dependence of the Soft Ferroelectric Mode in KTaO3
Analysis of the Grüneisen Parameter for Cu and Associated Force-Model Calculations for Cu and Ag,Third-Order Elastic Constants of Copper at Low Temperature
Pulse propagation and electron acceleration in a corrugated plasma channel,Laser Electron Accelerator
Weyl magnons in noncoplanar stacked kagome antiferromagnets,Quantum Hall effects in a Weyl semimetal: Possible application in pyrochlore iridates
